age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level,work_life_balance,productivity_ratio,cognitive_load,caffeine_per_sleep,exp_tier,age_group
26.0,12.0,10.33,4.45,2.0,11.0,4.0,1.0,15.07,0.14,55.96,Medium,0.18070865430280889,0.3076923076923077,33.83,0.44943810124986483,Senior,26-30
39.0,10.0,8.62,5.77,5.0,15.0,11.0,5.0,13.25,0.54,82.22,High,0.2885230777995849,0.5238095238095238,46.12,0.8665509763343195,Senior,36-40
34.0,13.0,8.99,4.03,5.0,2.0,18.0,9.0,11.18,1.54,61.77,Medium,0.2761526883414631,1.5,26.490000000000002,1.2406944812172502,Senior,31-35
30.0,1.0,6.85,6.47,2.0,15.0,26.0,1.0,11.14,0.96,54.98,Medium,0.41300720327919926,1.5294117647058822,38.35,0.30911896304189135,Junior,26-30
27.0,7.0,4.24,5.8,4.0,9.0,17.0,7.0,8.05,0.36,27.9,Low,0.5012204636923951,1.0,32.74,0.6896550535077494,Mid,26-30
40.0,2.0,10.25,6.78,0.0,19.0,27.0,4.0,15.15,0.78,51.06,Medium,0.2976377835575676,1.125,54.25,0.0,Junior,36-40
26.0,10.0,6.53,7.6,6.0,4.0,11.0,9.0,9.38,0.54,39.09,Medium,0.5116278748191154,0.7857142857142857,28.03,0.7894735803324237,Senior,26-30
38.0,0.0,10.69,5.25,5.0,12.0,2.0,2.0,14.58,0.1,77.68,High,0.21171348588391428,0.13333333333333333,37.69,0.9523807709750912,Junior,36-40
42.0,18.0,11.47,4.79,4.0,11.0,25.0,1.0,14.54,1.53,73.56,High,0.24298345855503814,1.9230769230769231,34.97,0.835072894556807,Principal,41-44
30.0,17.0,13.16,5.39,3.0,0.0,3.0,3.0,14.44,0.58,46.78,Medium,0.21630433998897317,0.75,17.66,0.5565861676092454,Principal,26-30
30.0,16.0,13.58,4.01,2.0,19.0,14.0,7.0,14.77,1.89,100.0,High,0.20811286743869953,0.5185185185185185,62.08,0.4987529928296776,Principal,26-30
43.0,19.0,4.11,4.6,5.0,10.0,14.0,0.0,5.6,1.78,26.76,Low,0.6570545152364042,1.2727272727272727,24.11,1.0869562854442858,Principal,41-44
32.0,12.0,13.9,7.75,6.0,18.0,10.0,9.0,16.08,1.43,100.0,High,0.3062041258771139,0.35714285714285715,63.4,0.7741934484911679,Senior,31-35
23.0,2.0,10.83,5.11,0.0,14.0,1.0,2.0,12.87,0.65,81.94,High,0.2430379644287779,0.058823529411764705,41.83,0.0,Junior,20-25
27.0,0.0,10.44,8.97,2.0,17.0,17.0,0.0,14.35,0.56,48.65,Medium,0.38442918981729773,0.9444444444444444,44.44,0.2229654154999537,Junior,26-30
43.0,3.0,4.15,4.84,7.0,15.0,2.0,1.0,8.01,0.95,34.26,Low,0.47615127663229634,0.11764705882352941,35.65,1.4462806929172123,Mid,41-44
22.0,12.0,12.61,7.94,5.0,6.0,17.0,9.0,17.5,0.71,77.5,High,0.2872799638897388,1.0625,38.11,0.629722842604176,Senior,20-25
41.0,16.0,5.45,7.53,3.0,9.0,13.0,6.0,7.69,1.8,28.51,Low,0.7100456080635001,0.8125,32.45,0.39840632159278594,Principal,41-44
40.0,10.0,12.37,5.61,4.0,15.0,5.0,0.0,17.12,0.25,85.2,High,0.19871142086431262,0.3125,42.37,0.7130123506216843,Senior,36-40
21.0,1.0,4.16,5.65,2.0,16.0,1.0,8.0,7.61,1.45,51.03,Medium,0.6032284959024219,0.04,48.16,0.35398223823323216,Junior,20-25
43.0,15.0,10.46,6.82,5.0,6.0,0.0,7.0,13.44,1.22,64.45,Medium,0.3364016595647842,0.0,32.96,0.7331377224138237,Principal,41-44
31.0,1.0,8.35,8.26,1.0,10.0,7.0,0.0,12.02,1.61,19.79,Low,0.48453605868747873,0.6363636363636364,28.35,0.12106536064584013,Junior,31-35
25.0,18.0,6.01,5.93,0.0,16.0,9.0,9.0,9.82,1.08,37.07,Medium,0.4428300415142109,0.34615384615384615,51.51,0.0,Principal,20-25
21.0,18.0,5.08,4.31,4.0,4.0,19.0,0.0,6.77,1.26,19.68,Low,0.4700421544268224,3.8,13.08,0.9280740306092737,Principal,20-25
40.0,15.0,8.4,5.87,2.0,0.0,17.0,1.0,12.41,1.93,27.68,Low,0.3748197801624324,8.5,9.9,0.3407154445118493,Principal,36-40
20.0,18.0,5.23,5.04,5.0,2.0,19.0,1.0,9.13,0.18,27.93,Low,0.3635097239895735,4.75,10.73,0.9920632952255366,Principal,20-25
31.0,8.0,8.86,8.7,4.0,15.0,10.0,5.0,13.85,0.21,46.3,Medium,0.3923381597385222,0.47619047619047616,46.36,0.4597700620953952,Senior,31-35
